id_test,0
True,conv4_block41_1_relu
True,conv4_block41_2_conv
True,conv4_block41_concat
True,conv4_block42_0_bn
True,conv4_block42_0_relu
True,conv4_block42_1_conv
True,conv4_block42_1_bn
True,conv4_block42_1_relu
True,conv4_block42_2_conv
True,conv4_block42_concat
True,conv4_block43_0_bn
True,conv4_block43_0_relu
True,conv4_block43_1_conv
True,conv4_block43_1_bn
True,conv4_block43_1_relu
True,conv4_block43_2_conv
True,conv4_block43_concat
True,conv4_block44_0_bn
True,conv4_block44_0_relu
True,conv4_block44_1_conv
True,conv4_block44_1_bn
True,conv4_block44_1_relu
True,conv4_block44_2_conv
True,conv4_block44_concat
True,conv4_block45_0_bn
True,conv4_block45_0_relu
True,conv4_block45_1_conv
True,conv4_block45_1_bn
True,conv4_block45_1_relu
True,conv4_block45_2_conv
True,conv4_block45_concat
True,conv4_block46_0_bn
True,conv4_block46_0_relu
True,conv4_block46_1_conv
True,conv4_block46_1_bn
True,conv4_block46_1_relu
True,conv4_block46_2_conv
True,conv4_block46_concat
True,conv4_block47_0_bn
True,conv4_block47_0_relu
True,conv4_block47_1_conv
True,conv4_block47_1_bn
True,conv4_block47_1_relu
True,conv4_block47_2_conv
True,conv4_block47_concat
True,conv4_block48_0_bn
True,conv4_block48_0_relu
True,conv4_block48_1_conv
True,conv4_block48_1_bn
True,conv4_block48_1_relu
True,conv4_block48_2_conv
True,conv4_block48_concat
True,pool4_bn
True,pool4_relu
True,pool4_conv
True,pool4_pool
True,conv5_block1_0_bn
True,conv5_block1_0_relu
True,conv5_block1_1_conv
True,conv5_block1_1_bn
True,conv5_block1_1_relu
True,conv5_block1_2_conv
True,conv5_block1_concat
True,conv5_block2_0_bn
True,conv5_block2_0_relu
True,conv5_block2_1_conv
True,conv5_block2_1_bn
True,conv5_block2_1_relu
True,conv5_block2_2_conv
True,conv5_block2_concat
True,conv5_block3_0_bn
True,conv5_block3_0_relu
True,conv5_block3_1_conv
True,conv5_block3_1_bn
True,conv5_block3_1_relu
True,conv5_block3_2_conv
True,conv5_block3_concat
True,conv5_block4_0_bn
True,conv5_block4_0_relu
True,conv5_block4_1_conv
True,conv5_block4_1_bn
True,conv5_block4_1_relu
True,conv5_block4_2_conv
True,conv5_block4_concat
True,conv5_block5_0_bn
True,conv5_block5_0_relu
True,conv5_block5_1_conv
True,conv5_block5_1_bn
True,conv5_block5_1_relu
True,conv5_block5_2_conv
True,conv5_block5_concat
True,conv5_block6_0_bn
True,conv5_block6_0_relu
True,conv5_block6_1_conv
True,conv5_block6_1_bn
True,conv5_block6_1_relu
True,conv5_block6_2_conv
True,conv5_block6_concat
True,conv5_block7_0_bn
True,conv5_block7_0_relu
True,conv5_block7_1_conv
True,conv5_block7_1_bn
True,conv5_block7_1_relu
True,conv5_block7_2_conv
True,conv5_block7_concat
True,conv5_block8_0_bn
True,conv5_block8_0_relu
True,conv5_block8_1_conv
True,conv5_block8_1_bn
